Brand,Name,Model / code,Finish,Category,Size,Product link,Needs confirming
Brizo,Tissue Holder,695076-NK,Brilliance Luxe Nickel,Bath accessories,,https://www.brizo.com/bath/product/695076-NK,
Brizo,Robe Hook,693476-NK,Brilliance Luxe Nickel,Bath accessories,,https://www.brizo.com/bath/product/693476-NK,
Pfister,"Universal Traditional 24"" Towel Bar",BTB-UTD2K,Brushed Nickel,Bath accessories,"24""",https://www.pfisterfaucets.com/bathroom/product/universal-traditional-btb-utd2-24-towel-bar,
Pfister,Universal Traditional Tissue Holder,BPH-UTD0K,Brushed Nickel,Bath accessories,,https://www.pfisterfaucets.com/bathroom/product/universal-traditional-bph-utd0-toilet-paper-holder,
Pfister,Universal Traditional Towel Ring,BRB-UTD0K,Brushed Nickel,Bath accessories,,https://www.pfisterfaucets.com/bathroom/product/universal-traditional-brb-utd0-towel-ring,
Pfister,Universal Traditional Robe Hook,BRH-UTD0K,Brushed Nickel,Bath accessories,,https://www.pfisterfaucets.com/bathroom/product/universal-traditional-brh-utd0-robe-hook,
Signature Hardware,"Lexia 24"" Towel Bar",SHLE24TBZBN,Brushed Nickel,Bath accessories,"24""",https://www.signaturehardware.com/lexia-bath-accessory-set/psv-18.html,
Signature Hardware,Lexia Tissue Holder,SHLETHZBN,Brushed Nickel,Bath accessories,,https://www.signaturehardware.com/lexia-bath-accessory-set/psv-18.html,
Signature Hardware,Lexia Robe Hook,SHLERHZBN,Brushed Nickel,Bath accessories,,https://www.signaturehardware.com/lexia-bath-accessory-set/psv-18.html,
Signature Hardware,Lexia Towel Ring,SHLETRZBN,Brushed Nickel,Bath accessories,,https://www.signaturehardware.com/lexia-bath-accessory-set/psv-18.html,
Emtek,"Select L-Square Faceted Leverset, Modern Rectangular Rosette",,Satin Nickel US15,Door hardware,,https://www.emtek.com/all-products/door-hardware/knobs-lever-and-rosettes/leversets/l-square-faceted-leverset/,No model number printed on the spec card - the link carries the configuration.
Emtek,"Modern Rectangular Pocket Door Lock, Passage (also available Privacy)",2108US15,Satin Nickel US15,Door hardware,,,
Emtek,Residential Duty Plain Bearing Hinge,,Stainless Steel,Door hardware,,,No model number printed on the spec card.
Emtek,"Select Transitional Smooth 6"" Appliance Pull",84055.TRAUS15.SMUS15,Satin Nickel,Cabinet hardware,"6""",https://www.emtek.com/all-products/cabinet-hardware/appliance-pulls/select-transitional-smooth-appliance-pull/,
Sietto,"Adjustable CTC 7"" Handle Cabinet Pull with Clear Glass",P-1900-7-SN,Satin Nickel,Cabinet hardware,"7""",,
Alno,"Millennium Luxury Industrial 8"" CTC Solid Brass Back to Back Pull",G950-6-SN,Satin Nickel,Shower door pull,"8"" CTC",https://www.build.com/alno-g950-8/s1529754,CONFIRM: the card reads G950-6-SN but the link beside it is alno-g950-8. One of the two is wrong.
Alno,"Contemporary I Urban Industrial 8"" CTC Back to Back Pulls",G715-8-SN,Satin Nickel,Shower door pull,"8"" CTC",https://www.build.com/alno-g715-8/s1529747,
Trustile,TS3000 Interior Door,TS3000,,Interior door,,https://www.trustile.com/interior-doors/ts-series/ts3000,
Millennium Lighting,"Artistan 18""W Pendant",20901-PN/MW,Polished Nickel / Matte White,Pendant,"18-1/8""W x 18-1/8""D x 13-1/8""H",,
Visual Comfort,Camille Sconce,SK 2016AN-L,Antique Nickel,Sconce,"5.5""W x 19""H",https://www.visualcomfort.com/camille-sconce-sk2016/,
Visual Comfort,Talia Large Chandelier,JN 5112BSL/CG,Brushed Silver Leaf / Clear Glass,Chandelier,"33""W x 24""H",https://www.visualcomfort.com/talia-large-chandelier-jn5112/,
Hinkley Lighting,ADA Integrated Sconce,,,Sconce,"4.75""W x 22.5""H",https://www.build.com/hinkley-lighting-50872/s1764701,CONFIRM: model number was not legible in the PDF text. The link points at Hinkley 50872.
Quorum International,Celeste Single Light Bathroom Sconce,5309-1-65,Satin Nickel,Sconce,"4.75""W x 6.25""D x 19""H",https://www.build.com/quorum-international-5309-1/s1480258,
Modern Forms,"Luzerne 18""H Wall Sconce",WS-30118-BN,Brushed Nickel,Sconce,"4.25""W x 3.5""D x 18""H",https://www.build.com/modern-forms-ws-30118/s1801832,
Shades of Light,Coral Curve Mirror,MW20038 WH,White Plaster,Mirror,"27""W x 34""H",https://www.shadesoflight.com/products/coral-curve-mirror,
Kohler,Essential Rectangular Framed Mirror,K-31366-BNL,Brushed Nickel,Mirror,"28""W x 60""H",https://www.build.com/kohler-k-31366/s1939121,
Robern,Craft Series Framed Wall Mirror,CM2444RC84,Polished Stainless Steel,Mirror,"23-1/4""W x 44-1/4""H",https://www.build.com/robern-cm2444rc/s1930075,
Sherwin Williams,Pure White,SW 7005,,Paint color,,,
Sherwin Williams,High Reflective White,SW 7757,,Paint color,,,
Sherwin Williams,Pearly White,SW 7009,,Paint color,,,
Sherwin Williams,Lakeside,SW 9683,,Paint color,,,
Sherwin Williams,Silver Tipped Sage,SW 9642,,Paint color,,,
Sherwin Williams,White Sand,SW 9582,,Paint color,,,
Mapei,Chamois,5005,,Grout,,,
Mapei,Frost,5077,,Grout,,,
Mapei,Eggshell,5220,,Grout,,,
Mapei,Biscuit,5014,,Grout,,,
